"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
"Top 10 Issues from Aug 1, 2024 - Jan 31, 2025",,,,,,,,,
"This table provides a breakdown of the top 10 issues raised in complaints we concluded between August 1, 2024 and January 31, 2025. ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Complaint,Service Provider,Line of Business,Primary Category,Secondary Category,Issue,Complaint From,City/Area,Province,
CI-0065881,Fido,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,London ,Ontario,
CI-0087352,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Oshawa,Ontario,
CI-0026284A,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Small Business,Carleton Place,Ontario,
CI-0026284A,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Small Business,Carleton Place,Ontario,
CI-0025464,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vaughan,Ontario,
CI-0025464,Bell Canada,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vaughan,Ontario,
CI-0025464,Bell Canada,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Vaughan,Ontario,
CI-0042301,Cogeco Connexion (Ontario),Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Sarnia,Ontario,
CI-0010327,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Innisfil ,Ontario,
CI-0021550,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Vaudreuil-Dorion,Quebec,
CI-0043185,Altima Telecom,TV,Service Delivery,Service not working,Intermittent service,Consumer,Montréal,Quebec,
CI-0043185,Altima Telecom,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Montréal,Quebec,
CI-0009869,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Cambridge,Ontario,
CI-0021476,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Mirabel + Saint Laurent,Quebec,
