rating,claude_sentiment,text,claude_summary,date
1,Negative,"Honestly, worse app and company so far; Using Roger's 1.5gb internet service and guess what? I'm not getting 1.5gb. Getting 15-20mb btwn 9 - 11pm even after resetting router. Tired of this. Used the app to get solution and when tried using Anna for help chat couldn't work. So what's the point? Why am I paying for Roger's? Already a liability with their network back in 2022","The user is experiencing poor internet speeds and network issues with Rogers, and the app is not providing a satisfactory solution or customer support.",2024-08-04 19:22:34
1,Negative,"Total incompetent thieves. Tried to add a line to my acct. They messed up the Sim chip delivery via also incompetent Purolator no-brians. I havent even received the chip yet, but they billed me an entire month of service / fees... without providing any actual service, or the Sim. They refuse to refund the months fee, or have a manager answer the phone. Strongly suggest a different cell provider. Need to terminate several wanna-be 'managers'.","The customer had a very negative experience trying to add a new line to their account, with issues related to the SIM card delivery and being billed for a month of service without receiving any actual service.",2024-07-03 12:30:32
1,Negative,pretty useless this app if you have to delete and re download everytime you want to make a simple change on your account. Ask Anna is also pretty useless. App keeps crashing.,"The app is frustratingly unreliable, requiring frequent reinstallation to make simple account changes, and the in-app assistant 'Ask Anna' is also not useful. The app also frequently crashes.",2024-06-20 14:26:17
1,Negative,"I have said it numerous times....this app is useless. Seriously a very poor A.I. software (Anna) for customers service... When did this became completely useless?...it's buggy, doesn't display information...","The reviewer finds the Rogers app and its customer service AI (Anna) to be useless, buggy, and unable to display information properly.",2024-05-30 08:23:03
1,Negative,Just updated the app now it continues to crash every time I try to use the chat with Anna.,The app crashes every time the user tries to use the chat with Anna feature after updating to the latest version.,2024-03-22 07:29:22
1,Negative,Constantly asking me to re-sign in with no prefilled username. You think I care to remember a million usernames and passwords ? I just wanna pay my phone bill but if you guys wanna make it so difficult I guess you'll wait for the money,"The user is frustrated with the constant need to re-sign in to the app without any prefilled username, making it difficult to simply pay their phone bill.",2024-03-11 03:49:39
4,Mixed,Some team not help ful or one support very helpful and one support sad I have written 72 hour fix my message one support very good helping fix issues but Anna not very helpful I don't appreciate,"The reviewer had a mixed experience with Rogers customer support, with one agent being very helpful in resolving their issues, while another agent named Anna was not as helpful.",2023-09-05 17:12:48
1,Negative,"I am more than disappointed in your Accounts Receivable System. I am sick of your robot ""Anna"" telling me that I am late on the 2nd and you ""human"" persons telling me my payment due date is on the 8th and to include my late fees??? This last time I paid in full on the 5th at the Bank of NS in Chilliwack and confirmed with your good person in N B(who actually confirmed my due date is the 8th and ""thanked me for my 5th pmt and there is no overdue charges"" I just received demand""no email tranfer""?","Customer is frustrated with inconsistencies in Rogers' payment system and due dates. They report conflicts between the automated system ('Anna') claiming late payments on the 2nd, while human representatives confirm the due date is the 8th. Despite making a payment on the 5th and receiving confirmation of no late fees, they received a payment demand.",2023-06-07 14:35:53
1,Negative,Probably the single most brazen display of rogers contempt for their customer. Wanna pay your bill? To bad we've spent every penny of your over priced cell plan on making the worst user experience possible. Logging in on the app? LOL no it opens a browser link because rogers has decided to go backwards in their app design Saving your log in? Absolutely not! You might actually be able to pay your bills on time and see your data usage! Terrible app by a terrible service provider,"Customer expresses extreme frustration with the Rogers app, particularly regarding bill payment functionality and login issues. The app redirects to browser for login instead of handling it in-app, doesn't save login credentials, and makes basic account management difficult. User views these issues as intentionally poor design.",2023-03-10 08:58:18
1,Negative,"Anna the computer chat can not answer any useful information that you need to know. When a agent comes on it feels like everything they is scripted, the agents truly do not care how the customers feel.","Customer expresses frustration with Rogers' chat support system, specifically with the AI chatbot 'Anna' being unhelpful. They also criticize human agents for seeming scripted and showing lack of empathy towards customers.",2023-01-10 07:20:54
2,Negative,"Not very impressed, I made (or so I thought) my payment on the 19th but apparenytly it didnt go through making me late with my 1st payment. Also I have been trying to grt ahold of someone to help rxplsin s billing issue and The live chat doesnt ever seem to work and Anna just keeps sending me from billing inquires to inquires. Frustrating!!","The user had issues with their billing and payment, and they have been unable to get help from customer support through the app's live chat.",2022-12-21 15:03:37
5,Mixed,I have had used Anna to find out some items but it does take a while to find certain items. Speaking to an agent is a lot easier. I do have an issue with my account that I am having an issue with. They do provide answers and solutions.,"The user finds the virtual assistant Anna helpful but notes it can be slow to find information. They prefer speaking with human agents. While they have an account issue, they acknowledge that solutions are provided.",2022-10-01 13:27:12
1,Negative,Haven't been able to yet on for over a week now. Always says maintenance is happening. Wanna pay my bill people!,User has been unable to access the Rogers app for over a week due to continuous maintenance messages. They are frustrated because they want to pay their bill but cannot access the service.,2022-05-07 21:52:49
1,Negative,This app was a good thing. Now they have taken away most of the self service options. They have taken away how we used to be able to see the service in our area for any outages or to report outages. Now they send you to a web browser to talk to Anna the AI. Anna is something so ridiculous that never help. I always have to end up talking to a service rep for something simple. Something I use to be able to fix with the app self serve options in tec support section of the app.,"User complains about Rogers app removing key self-service features, particularly outage reporting and service status checking. The replacement AI chatbot 'Anna' is ineffective, forcing users to contact customer service representatives for issues that were previously self-serviceable.",2022-04-14 13:13:17
