app_name,rating,claude_sentiment,text,claude_summary,primary_category
Rogers,1,Negative,"You can't contact Roger's. If you call them, they will give a message saying they will call you back. They never call you back. In the app, the live chat says they are too busy to help you, and if you select the contact us tab, it just goes to a 404 page.","The review criticizes the lack of customer support and broken functionality in the Rogers app, including the inability to contact customer service, live chat being unavailable, and the contact us tab leading to a 404 page.",Customer Support
Rogers,1,Negative,"This app sucks, I've been trying to talk to an agent on live chat for over a month and the windows close and they send you an empty conversation!!","The user has been unable to connect with a live agent through the app's chat feature for over a month, with the chat windows closing and leaving an empty conversation.",Customer Support
Rogers,2,Negative,"For general billing or basic info its great, but anything more its not at all. Will ask you to download other apps, like rogers x, that don't work, but are required. If you try the chat option, you wait 74 minutes then it disconnects you. Try calling and the guy barely speaks English, so you are back to your original problem, only now you wasted well over 3 hours and spent your last nerve! Avoid if you can!","The review criticizes the Rogers app for requiring users to download additional apps for more advanced features, long wait times for chat support, and poor customer service from representatives who barely speak English.",Customer Support
Rogers,1,Negative,"This is a joke, not an app from an operator that claims to be the best. It's the worst user experience. Was this developed by amateurs? You constantly need to log in, the app crashes frequently, and it loses connection with chat support during conversations. Switching between pages is slow and often inaccurate.","The reviewer is highly dissatisfied with the Rogers Android app, citing poor user experience, frequent crashes, connectivity issues, and slow performance.",User Experience
Rogers,3,Mixed,"Chat people and phone people never listen to the customer. Had an issue with my SIM card after I changed my phone number, and I asked them to check the SIM after I got a SIM error with my new phone number. The chat support wanted me to check app versions.. etc. Already tried my manufacturer.. no help. Contacted Rogers chat and never had SIM checked. The best part about the app is if you complain in the community forum, or rate the app, they do fix mistakes. Thank you! Works now!","The customer had an issue with their SIM card after changing their phone number, and the chat support was not helpful in resolving the problem. However, the customer found that complaining in the community forum or rating the app helped get the issue resolved.",Technical Issues
Rogers,1,Negative,"Honestly, worse app and company so far; Using Roger's 1.5gb internet service and guess what? I'm not getting 1.5gb. Getting 15-20mb btwn 9 - 11pm even after resetting router. Tired of this. Used the app to get solution and when tried using Anna for help chat couldn't work. So what's the point? Why am I paying for Roger's? Already a liability with their network back in 2022","The user is experiencing poor internet speeds and network issues with Rogers, and the app is not providing a satisfactory solution or customer support.",Network Issues
Rogers,1,Negative,Technicians accessible for help. Difficult to get pass chat help. Robot just keeps spewing out some things for you to select but nothing matches your needs. Transferring Ed to another Canada provider for home 🏡 services,"The review highlights difficulties in getting help through the app's chat feature, which provides limited options that do not address the user's needs, leading them to switch to another provider for home services.",Customer Support
Rogers,1,Negative,"Total incompetent thieves. Tried to add a line to my acct. They messed up the Sim chip delivery via also incompetent Purolator no-brians. I havent even received the chip yet, but they billed me an entire month of service / fees... without providing any actual service, or the Sim. They refuse to refund the months fee, or have a manager answer the phone. Strongly suggest a different cell provider. Need to terminate several wanna-be 'managers'.","The customer had a very negative experience trying to add a new line to their account, with issues related to the SIM card delivery and being billed for a month of service without receiving any actual service.",Billing
Rogers,1,Negative,pretty useless this app if you have to delete and re download everytime you want to make a simple change on your account. Ask Anna is also pretty useless. App keeps crashing.,"The app is frustratingly unreliable, requiring frequent reinstallation to make simple account changes, and the in-app assistant 'Ask Anna' is also not useful. The app also frequently crashes.",Technical Issues
Rogers,1,Negative,"I have said it numerous times....this app is useless. Seriously a very poor A.I. software (Anna) for customers service... When did this became completely useless?...it's buggy, doesn't display information...","The reviewer finds the Rogers app and its customer service AI (Anna) to be useless, buggy, and unable to display information properly.",Customer Support
