review_id,app_name,text,primary_category,new_category,new_sentiment
0f0283af1ca49ac51cf91ffecaeaaea6,Bell,SWicked,,User Feedback,Positive
c92be749498458b92b483bbd1f8fef6e,Bell,I can’t see the front page of the app on my iPad,,Technical Issues,Negative
28081d68c60e642f027d2f4438882683,Bell,Why are you increasing prices twice in a year? Considering switching services.,,Billing,Negative
87b50417472eb16ffcd3e4f3158456d2,Bell,"bell network is very pathetic as compared to other service providers don’t go with bell ever,",,Network Issues,Negative
10c46fbb4e58ddfdd7200fce26da2bb6,Bell,"Am not able to download the update , I think bell has you work on there app , there are lot of review same that app is so bad , but still bell not bother to improve it. Strange .",,Technical Issues,Negative
b99fc2c1d24792f647bb0b0b31c05f55,Bell,IS NOT WORKING ND THE TROUBLESHOOTING KICKS ME OUT,,Technical Issues,Negative
0996f89482fdef7b27b213994ba162b1,Bell,Most recent-  getting A! SIMPLINK Please try again note on screen every 15 seconds,,Technical Issues,Negative
e27a2f6680cc1444ff9e99fbd8288211,Bell,Stop fing with my passwords,,Authentication,Negative
a70acca7a386e78cb2609a8541425909,Bell,.,,User Feedback,Neutral
c1bb8a5f598869d89e59984b85061151,Bell,"I book a order with promo in January told me to wait half an year to set up wiring for home wifi, and after i wait 6 months the order got automatically cancelled because it’s long, and there is no promo anymore!!!! he told me to pay the original price  after I waited all that long!!!! WORST INTERNET IN CANADA!!!",,Customer Support,Negative
f391049bda07cf8f2c8c0cacf343de65,Bell,"Après avoir informé Bell de mon déménagement, il me retourne une facture qui inclut deux services résidentiels qui ne m’appartient plus depuis 3 semaines.",,Billing,Negative
31dba24c54a779dc03a4525570ae3658,Bell,"I ordered my Bell home Internet in December 2024, with promotion price $50 per month, but Bell put a wrong installation address. Contacted Bell customer service, they cancelled the order and place a new order for me , the price become $55 per month, the reason given was the promotion period just passed. Now I surprise see my monthly charge is $136, called Bell customer services three time, the first time they cannot find my account, the second time they found the price mistake and promised to correct it in the next bill, but next bill still $136 per month, call their the third time, they told me my original order price was $136, then cut off the call. I guess I need continue to call them the fourth to ten times, probably every body day different, cannot believe Such a big company has that funny customer service team,.",,Customer Support,Negative
9ec85a7f908d78c3d59e2818e2b56b1e,Bell,When logging in I’m told that my login credentials are incorrect. But I know they’re correct. I’ve never had a problem until yesterday. If my account wasn’t logged into my phone I wouldn’t be able to access it.,,Authentication,Negative
cd1b6a18a1b69568f4b21e1f9f246c8f,Bell,"I have been a Bell customer for over 50 years.  Whenever I have an issue with my Bell services they are always taken care of in a very timely manner.  I have never been tempted to try another provider, because I know Bell and feel that they will always do what is best for their customers.",,User Feedback,Positive
