title,text,rating,author,app_version,date,app_name,platform,extraction_method,extraction_date,vote_sum,vote_count,review_id
App size is ridiculously huge,"For an app that doesn’t do much more than listing info, it has a ridiculously huge size. It’s beyond my comprehension. You guys need to clean this app up, get rid of user tracking junk and trim down the app size! 

Stop serving spams/scammy ads in the app!!!

And support dark mode, for Pete’s sake.",1,v0ncv,11.6.2,2025-05-27 06:32:45,Bell,iOS,itunes_rss,2025-05-29,0,0,082d81a4213a09464d24428166ebc949
Titty twister,SWicked,5,el seano 123,11.6.2,2025-05-26 23:16:07,Bell,iOS,itunes_rss,2025-05-29,0,0,0f0283af1ca49ac51cf91ffecaeaaea6
iPad problem,I can’t see the front page of the app on my iPad,4,Loadie20,11.6.2,2025-05-26 15:11:37,Bell,iOS,itunes_rss,2025-05-29,0,0,c92be749498458b92b483bbd1f8fef6e
Prices,Why are you increasing prices twice in a year? Considering switching services.,1,Vandy1989,11.6.2,2025-05-26 08:44:41,Bell,iOS,itunes_rss,2025-05-29,0,0,28081d68c60e642f027d2f4438882683
no network,"bell network is very pathetic as compared to other service providers don’t go with bell ever,",1,yhoooojit,11.6.2,2025-05-25 20:08:08,Bell,iOS,itunes_rss,2025-05-29,0,0,87b50417472eb16ffcd3e4f3158456d2
Bad update,"Am not able to download the update , I think bell has you work on there app , there are lot of review same that app is so bad , but still bell not bother to improve it. Strange .",1,ashu5143,11.6.2,2025-05-25 17:44:23,Bell,iOS,itunes_rss,2025-05-29,0,0,10c46fbb4e58ddfdd7200fce26da2bb6
Cellular,IS NOT WORKING ND THE TROUBLESHOOTING KICKS ME OUT,1,Nice to C,11.6.2,2025-05-25 12:38:09,Bell,iOS,itunes_rss,2025-05-29,0,0,b99fc2c1d24792f647bb0b0b31c05f55
Problems,Most recent-  getting A! SIMPLINK Please try again note on screen every 15 seconds,2,TimberTLM,11.6.2,2025-05-25 09:27:02,Bell,iOS,itunes_rss,2025-05-29,0,0,0996f89482fdef7b27b213994ba162b1
Passwords,Stop fing with my passwords,1,Army2424,11.6.2,2025-05-25 07:06:00,Bell,iOS,itunes_rss,2025-05-29,0,0,e27a2f6680cc1444ff9e99fbd8288211
I do not recommend,.,1,Smorgely,11.6.2,2025-05-24 12:39:08,Bell,iOS,itunes_rss,2025-05-29,0,0,a70acca7a386e78cb2609a8541425909
WASTE MY TIME,"I book a order with promo in January told me to wait half an year to set up wiring for home wifi, and after i wait 6 months the order got automatically cancelled because it’s long, and there is no promo anymore!!!! he told me to pay the original price  after I waited all that long!!!! WORST INTERNET IN CANADA!!!",1,X888.,11.6.2,2025-05-24 09:04:31,Bell,iOS,itunes_rss,2025-05-29,0,0,c1bb8a5f598869d89e59984b85061151
Erreur dans la facturation,"Après avoir informé Bell de mon déménagement, il me retourne une facture qui inclut deux services résidentiels qui ne m’appartient plus depuis 3 semaines.",1,luc.laflamme37,11.6.2,2025-05-24 05:08:08,Bell,iOS,itunes_rss,2025-05-29,0,0,f391049bda07cf8f2c8c0cacf343de65
Wrong monthly charge never fix,"I ordered my Bell home Internet in December 2024, with promotion price $50 per month, but Bell put a wrong installation address. Contacted Bell customer service, they cancelled the order and place a new order for me , the price become $55 per month, the reason given was the promotion period just passed. Now I surprise see my monthly charge is $136, called Bell customer services three time, the first time they cannot find my account, the second time they found the price mistake and promised to correct it in the next bill, but next bill still $136 per month, call their the third time, they told me my original order price was $136, then cut off the call. I guess I need continue to call them the fourth to ten times, probably every body day different, cannot believe Such a big company has that funny customer service team,.",1,Kai Somg- Washago,11.6.2,2025-05-23 13:55:41,Bell,iOS,itunes_rss,2025-05-29,0,0,31dba24c54a779dc03a4525570ae3658
Login Issues,When logging in I’m told that my login credentials are incorrect. But I know they’re correct. I’ve never had a problem until yesterday. If my account wasn’t logged into my phone I wouldn’t be able to access it.,1,Big old saggy farts,11.6.2,2025-05-23 04:31:23,Bell,iOS,itunes_rss,2025-05-29,0,0,9ec85a7f908d78c3d59e2818e2b56b1e
I enjoy my Bell,"I have been a Bell customer for over 50 years.  Whenever I have an issue with my Bell services they are always taken care of in a very timely manner.  I have never been tempted to try another provider, because I know Bell and feel that they will always do what is best for their customers.",5,F0rget1t!,11.6.2,2025-05-23 03:42:04,Bell,iOS,itunes_rss,2025-05-29,0,0,cd1b6a18a1b69568f4b21e1f9f246c8f
RATE INCREASE ALL THE TIME,I dislike how often bell increases the monthly fees on my services. The internet is out almost once a month. It’s great to have high speed where I live. Unfortunately other providers are not as fast as bells modem.,3,vanstoner69,11.6.2,2025-05-22 17:47:27,Bell,iOS,itunes_rss,2025-05-29,0,0,ee9b4b787666d0db74501dd4f0f15165
Bad,Slow,1,MariaFernandaGR,11.6.2,2025-05-22 17:36:27,Bell,iOS,itunes_rss,2025-05-29,0,0,b042a04fa707e978b0ddfa813ce106a6
Good service,"Very nice tech set up internet, phone and fibe TV at our new address.",5,Keatimi,11.6.2,2025-05-22 13:29:09,Bell,iOS,itunes_rss,2025-05-29,0,0,74da0700e155f37789299d5bf760d3d7
Médiocre favoris,Équivalent d’un favoris vers le site web à la seule différence que les trois quarts de l’espace est occupé par les promotions de bell. L’authentification avec touch Id est bien.,2,Kossmikman,11.6.2,2025-05-22 11:55:37,Bell,iOS,itunes_rss,2025-05-29,0,0,b8ed00f17f386edf9ed69ce26e5e6682
Mr,Loves my Bell!,5,Bmacman99,11.6.2,2025-05-22 02:17:18,Bell,iOS,itunes_rss,2025-05-29,0,0,24bd4e5c416499779a2f3a81ba5d9c5c
The bill,"Our bill for the services provided is supposed to be 107$ but a few months after we got that deal bell bumped it up to 114 and i let it slide but now they just bumped it up to 120 and we have unlimited everything so its not like there is overage charges

Now in order to straighten this out ill have to call them and wait on hold for 45 mins and hopefully get it figured out

It be sweet if they just stuck with billing what they told me it would be.",1,Brantford homedale guy,11.6.2,2025-05-21 18:37:46,Bell,iOS,itunes_rss,2025-05-29,0,0,be3cb15eebc133cf97302b4950994412
"Service lent, 12 heures avant de récupérer internet",Mon téléphone ne fonctionne toujours pas. Mon code à quatre chiffres est invalide!,1,Servicepoche,11.6.2,2025-05-21 17:40:06,Bell,iOS,itunes_rss,2025-05-29,0,0,da801900310f5609579e32199818629b
Fix my speed!,Keep cutting speed!,1,Busa Todd,11.6.2,2025-05-21 15:16:09,Bell,iOS,itunes_rss,2025-05-29,0,0,cfa8046097e04adf50cfc36fb2fb5ccb
Coverage?,My neighbourhood is on the edge of Calgary. The suburb boundaries are literally shared. The coverage is terrible! I am not able to speak with anyone as I only have 1 or 2 bars. I have to use VOIP or WhatsApp or email. And the app page says “we have upgraded coverage in your area”. When I try to open the page within the app: “ not available in your area”. You can’t make this inanity up!,2,machaltcrz,11.6.2,2025-05-21 11:08:49,Bell,iOS,itunes_rss,2025-05-29,0,0,2b6218faf2ead3b1f249f305e029d663
"Horrible App, horrible customer service","If you can get cell service through any other provider, I would suggest it. This app is full of bugs and customer service does nothing to help with repeat payment issues.",1,shWaig12,11.6.2,2025-05-21 10:57:34,Bell,iOS,itunes_rss,2025-05-29,0,0,60e7414f7b0f919a02a3cb241da2cf3a
Mauvais service,"Belle et toujours plantée pis, on peut pas parler à personne, c’est c’est vraiment désagréable",1,"Ricard, 81",11.6.2,2025-05-21 08:38:13,Bell,iOS,itunes_rss,2025-05-29,0,0,a89bd13768fe6496e8615725a6d11df9
Constantly freezes,Often won’t even open just gets stuck on the loading screen. They remove closed accounts so you can’t see past or owing bills of closed accounts. Bad app,1,bdndururjrbt,11.6.0,2025-05-21 06:27:26,Bell,iOS,itunes_rss,2025-05-29,0,0,3cb21c5b1fe0feb218251bbebf8f8b07
Scam my account,I was stopped bell telephone using but every month they bills for nothing,1,Koorsa,11.6.0,2025-05-20 22:54:08,Bell,iOS,itunes_rss,2025-05-29,0,0,64027b614e36e84370bfe5349ffada86
Not impressed,Service in my town sucks I always cut out or can’t get service and they don’t for the amount of time I have been with them they don’t have great incentives to stay,1,HaileeD mom of three!,11.6.0,2025-05-20 19:42:50,Bell,iOS,itunes_rss,2025-05-29,0,0,9fd57098f226cc7a901952668a059c64
No bill notifications,MyBell doesn’t send me notifications when my bill is available for payment. I only receive notifications when the bill is overdue. This is not helpful.,1,JL 24 Bell,11.6.0,2025-05-20 17:32:28,Bell,iOS,itunes_rss,2025-05-29,0,0,1201f03be07c660eb700364d9ec384a3
Stop increasing my bills or I’m going to Roger’s,"This isn’t a threat, it’s a promise",1,Dumbnickname69420,11.6.0,2025-05-20 16:23:05,Bell,iOS,itunes_rss,2025-05-29,0,0,a880f050974813911ccaa30e8c1b3c8d
Bill,The monthly price is increased unexpectedly without better services.,1,Internet research,11.6.0,2025-05-20 15:00:33,Bell,iOS,itunes_rss,2025-05-29,0,0,2607ca2c260816c9249c0031b14f6ba7
