index,id,app,platform,rating,date,content,old_category,new_category
15,ee9b4b787666d0db74501dd4f0f15165,Bell,iOS,3,2025-05-22 17:47:27,I dislike how often bell increases the monthly fees on my services. The internet is out almost once a month. It’s great to have high speed where I live. Unfortunately other providers are not as fast as bells modem.,Price Increases,General Dissatisfaction
20,be3cb15eebc133cf97302b4950994412,Bell,iOS,1,2025-05-21 18:37:46,"Our bill for the services provided is supposed to be 107$ but a few months after we got that deal bell bumped it up to 114 and i let it slide but now they just bumped it up to 120 and we have unlimited everything so its not like there is overage charges

Now in order to straighten this out ill have to call them and wait on hold for 45 mins and hopefully get it figured out

It be sweet if they just stuck with billing what they told me it would be.",Price Increases,Customer Support
37,838b035bfb4582f5f78ae9b42395a6a5,Bell,iOS,1,2025-05-20 06:22:49,To expensive for the services I am getting,Price Increases,Pricing/Value Comments
57,205d50b0-7845-484a-b40b-b63d11389420,Bell,Android,1,2025-05-18 05:15:36,Looking for a new provider. Bell is WAYYY overpriced!!,Price Increases,Pricing/Value Comments
72,12664348838,Bell,iOS,1,2025-05-16 18:22:54,I find their plans expensive and misleading.  It is so frustrating trying to find a family share solution.,Price Increases,Pricing/Value Comments
79,7710c523-f3d2-4416-ad4c-6c0067f5f904,Bell,Android,1,2025-05-16 05:52:50,"my Bell has gone up, and Bell won't let me see my bill,with no warning of increase.",Price Increases,General Dissatisfaction
136,12646283560,Bell,iOS,1,2025-05-11 17:39:43,My billing amount wasn’t supposed to change and it has gone up about 17 dollars since I started with bell. I didn’t add anything to my account,Price Increases,Billing
173,b4a88323-f471-4363-beac-c922a4159385,Bell,Android,2,2025-05-09 02:15:04,"première facturation plus élevée que l'entente avec le représentant qui est passée chez moi , me vendre les services. je devais avoir un forfait à 74$+tx pour les mêmes services.",Price Increases,General Dissatisfaction
190,12631310195,Bell,iOS,1,2025-05-07 16:54:43,Pourquoi vous n´avez pas offert une vitesse internet pour un dollar de plus puisque que la vitesse fibre 25 n’existe plus très déçu,Price Increases,General Dissatisfaction
222,6a136bed-baa3-485f-8107-f94a681c6553,Bell,Android,1,2025-05-05 16:38:36,over priced,Price Increases,Pricing/Value Comments
247,12616801083,Bell,iOS,1,2025-05-03 19:19:41,High amount of bills without any extra benefit.....soon switching to other company,Price Increases,General Dissatisfaction
260,17516d13-8eb0-479d-9442-aed215978a9c,Bell,Android,1,2025-05-02 12:09:27,too expensive after,Price Increases,Pricing/Value Comments
266,12609295545,Bell,iOS,1,2025-05-01 21:06:35,"My bill has been increased in last two months , I’m planning to change my service",Price Increases,General Dissatisfaction
288,5b0fb928-bed2-4a5f-86d5-632250b6ea9d,Bell,Android,1,2025-04-29 04:28:22,to expensive,Price Increases,Pricing/Value Comments
350,12575109430,Bell,iOS,1,2025-04-22 19:18:37,Too expensive,Price Increases,Pricing/Value Comments
351,b495319b-8819-4159-9e5d-dd2161c63c67,Bell,Android,1,2025-04-22 11:37:44,"Would not lower my plan to something reasonable with data, was only to new customers, now i am previous customer of 1 day.",Price Increases,General Dissatisfaction
370,0f03f471-f98c-4fb4-b84b-568caa9f924e,Rogers,Android,4,2025-04-19 14:59:42,A little more expensive than chatr. I really don't need a lot. Most of the things the phone does I don't have a clue about. I just work with what I know.,Price Increases,Pricing/Value Comments
